A,B,P,UF,OF,NaNF,InfF,DNF,ZF
b04efa2a,8bf54af8,0,1,0,0,0,0,1
019f5c95,80773296,80000000,1,0,0,0,0,1
0071c12e,9c8e8906,80000000,1,0,0,0,0,1
0456a983,026ffd3c,0,1,0,0,0,0,1
a2afc5e3,040e11d0,80000000,1,0,0,0,0,1
0ea204e9,9eff0072,80000000,1,0,0,0,0,1
0954bc29,b0000000,80000000,1,0,0,0,0,1
8c463e2a,001a13ad,80000000,1,0,0,0,0,1
36800000,0051bb8c,0,1,0,0,0,0,1
8015aa43,95000000,0,1,0,0,0,0,1
292b932d,003caffc,0,1,0,0,0,0,1
002dceab,80576a66,80000000,1,0,0,0,0,1
800bc322,97c35056,0,1,0,0,0,0,1
9cb3f8d2,0a87e361,80000000,1,0,0,0,0,1
246c94f3,8013a5ca,80000000,1,0,0,0,0,1
a3e36431,8a93013f,0,1,0,0,0,0,1
a1800000,15f3e3cb,80000000,1,0,0,0,0,1
1f9c5ce6,82b9e9b9,80000000,1,0,0,0,0,1
be753f06,0044ff58,80000000,1,0,0,0,0,1
0091f789,a3a089c5,80000000,1,0,0,0,0,1
8c94fb69,a59e1fad,0,1,0,0,0,0,1
8057ed45,8f51c03c,0,1,0,0,0,0,1
3000000,aaf6ae2d,80000000,1,0,0,0,0,1
2e6e2771,8955e118,80000000,1,0,0,0,0,1
924aaa37,24bfd8f1,80000000,1,0,0,0,0,1
3d4ad4e0,0036d4b9,0,1,0,0,0,0,1
1a99d76c,91bed46e,80000000,1,0,0,0,0,1
82a8a3fe,0054005c,80000000,1,0,0,0,0,1
003921ed,9c57a88f,80000000,1,0,0,0,0,1
1c800000,9eb82f97,80000000,1,0,0,0,0,1
03edb1d9,a07578dc,80000000,1,0,0,0,0,1
8178b6eb,239c90be,80000000,1,0,0,0,0,1
8b800000,00100a05,80000000,1,0,0,0,0,1
007a04c1,0ec61945,0,1,0,0,0,0,1
0d09e0f2,8c023235,80000000,1,0,0,0,0,1
8002453c,a3f5b27e,0,1,0,0,0,0,1
27076a5a,8004155b,80000000,1,0,0,0,0,1
8034bb20,ac16184f,0,1,0,0,0,0,1
0045da47,ac759736,80000000,1,0,0,0,0,1
07dc39db,10144a47,0,1,0,0,0,0,1
1c6f61b6,1ee82692,0,1,0,0,0,0,1
80434b42,00579afe,80000000,1,0,0,0,0,1
0024ee24,843c547e,80000000,1,0,0,0,0,1
0c3f0564,805b9383,80000000,1,0,0,0,0,1
0d2269ae,18b7c96b,0,1,0,0,0,0,1
8d142a3f,168bdd9c,80000000,1,0,0,0,0,1
0f000000,86800000,80000000,1,0,0,0,0,1
8000be59,1f800000,80000000,1,0,0,0,0,1
80144c6d,1aaeb7b2,80000000,1,0,0,0,0,1
22000000,115854d9,0,1,0,0,0,0,1
0027ea48,27f1238d,0,1,0,0,0,0,1
816a0805,006a589c,80000000,1,0,0,0,0,1
12a4d89e,848eb86b,80000000,1,0,0,0,0,1
978383cf,807e4914,0,1,0,0,0,0,1
9a9e3701,01433cf6,80000000,1,0,0,0,0,1
ba85a660,041f6db5,80000000,1,0,0,0,0,1
000e459a,18dd1e9e,0,1,0,0,0,0,1
1e086061,12000000,0,1,0,0,0,0,1
0012f4e0,3a800000,0,1,0,0,0,0,1
b0084bd3,2000000,80000000,1,0,0,0,0,1
9d18fa9f,8023cd23,0,1,0,0,0,0,1
1ba9434c,0a077f96,0,1,0,0,0,0,1
1290be31,8d210cc4,80000000,1,0,0,0,0,1
80ff4131,b4976b65,0,1,0,0,0,0,1
00b2609e,a09dc4b8,80000000,1,0,0,0,0,1
b132115c,0609284c,80000000,1,0,0,0,0,1
388934,3704fd15,0,1,0,0,0,0,1
80049da2,80222460,0,1,0,0,0,0,1
9317fcd0,a93e769d,0,1,0,0,0,0,1
8033e91e,8028949f,0,1,0,0,0,0,1
5747385,8d9adedc,80000000,1,0,0,0,0,1
8008db46,1a000000,80000000,1,0,0,0,0,1
9c8c6dce,1b746e00,80000000,1,0,0,0,0,1
8069028e,8902a944,0,1,0,0,0,0,1
3df46c7e,00b9c7e4,0,1,0,0,0,0,1
85000000,82d01980,0,1,0,0,0,0,1
0cb37398,8fe79dd0,80000000,1,0,0,0,0,1
8d000000,9ab4ee37,0,1,0,0,0,0,1
8ad68af3,a0cda1ec,0,1,0,0,0,0,1
adcec538,0000be4b,80000000,1,0,0,0,0,1
80421355,81ebb870,0,1,0,0,0,0,1
80213a60,0053805d,80000000,1,0,0,0,0,1
0a9c3ccb,8345938,0,1,0,0,0,0,1
8039fdd8,8060ad62,0,1,0,0,0,0,1
20b2b798,8162448c,80000000,1,0,0,0,0,1
2e3c7816,002e8781,0,1,0,0,0,0,1
32fa7875,00221e35,0,1,0,0,0,0,1
a0014bfb,0d000000,80000000,1,0,0,0,0,1
00741ecb,0028b7fc,0,1,0,0,0,0,1
13b7072a,5000000,0,1,0,0,0,0,1
9a5e9a7a,901c4e3a,0,1,0,0,0,0,1
0f000000,80540396,80000000,1,0,0,0,0,1
047ceb4a,0078dc9b,0,1,0,0,0,0,1
8017386c,84a6c4dd,0,1,0,0,0,0,1
00000fff,00000fff,0,1,0,0,0,0,1
00000fff,80000fff,80000000,1,0,0,0,0,1
80000fff,00000fff,80000000,1,0,0,0,0,1
80000fff,80000fff,0,1,0,0,0,0,1
12125800,8760000,0,1,0,0,0,0,1
1c0c3800,172bc800,0,1,0,0,0,0,1
a7758000,14006800,80000000,1,0,0,0,0,1
a4a73800,137e7800,80000000,1,0,0,0,0,1
8968e800,928cc800,0,1,0,0,0,0,1
31e35000,84ab0000,80000000,1,0,0,0,0,1
0de9f800,24c57000,0,1,0,0,0,0,1
0072a119,00138ffe,0,1,0,0,0,0,1
800d85ee,b63f9281,0,1,0,0,0,0,1
23e01dc1,1273f2b3,0,1,0,0,0,0,1
