A,B,P,UF,OF,NaNF,InfF,DNF,ZF
ffa7449e,abb5b756,7fffffff,0,0,1,0,0,0
ffa0e8c8,3917dd31,ffffffff,0,0,1,0,0,0
ffe4ed36,f8498671,7fffffff,0,0,1,0,0,0
7fabee07,4d800000,7fffffff,0,0,1,0,0,0
ffbf635f,c71967d8,7fffffff,0,0,1,0,0,0
117265,ff8e19c9,ffffffff,0,0,1,0,0,0
7fe68472,c73591a0,ffffffff,0,0,1,0,0,0
5c7bd53a,ffbf1cd8,ffffffff,0,0,1,0,0,0
fa106f4a,ffc1848e,7fffffff,0,0,1,0,0,0
d4597b14,7fc685ec,ffffffff,0,0,1,0,0,0
7fff1b42,bc01fc3d,ffffffff,0,0,1,0,0,0
7fc11531,bf8e4874,ffffffff,0,0,1,0,0,0
6d6cff23,7fa72b9d,7fffffff,0,0,1,0,0,0
bd5ccd22,fffad7bf,7fffffff,0,0,1,0,0,0
ffff2f2e,5f942acc,ffffffff,0,0,1,0,0,0
ffb61b0d,007e7dd5,ffffffff,0,0,1,0,0,0
7fb6d9fc,85b56907,ffffffff,0,0,1,0,0,0
7fb36f2e,2c8e238e,7fffffff,0,0,1,0,0,0
7ff576cf,09799de7,7fffffff,0,0,1,0,0,0
dd111f85,7fdd0da0,ffffffff,0,0,1,0,0,0
7fd3e83e,80000000,ffffffff,0,0,1,0,0,0
ffa6d84a,b4936245,7fffffff,0,0,1,0,0,0
ffd7fb45,db74c2c4,7fffffff,0,0,1,0,0,0
7fd51f06,ac2a2bf8,ffffffff,0,0,1,0,0,0
ffc0f08d,2c800000,ffffffff,0,0,1,0,0,0
ffd6b9f2,7d02af4a,ffffffff,0,0,1,0,0,0
ff8f1349,c0000000,7fffffff,0,0,1,0,0,0
a0e4ca1a,fffc5532,7fffffff,0,0,1,0,0,0
7f9a39e9,7f9c304c,7fffffff,0,0,1,0,0,0
d9c99305,ff86f396,7fffffff,0,0,1,0,0,0
edaa02d3,7f895288,ffffffff,0,0,1,0,0,0
b06e5c5d,7fcfe632,ffffffff,0,0,1,0,0,0
dfd6a792,ff966d6f,7fffffff,0,0,1,0,0,0
ffd1260e,02a3a7e6,ffffffff,0,0,1,0,0,0
7cf4d7cd,ffa95a52,ffffffff,0,0,1,0,0,0
7fd629da,7ffa12af,7fffffff,0,0,1,0,0,0
7fec77bf,fe000000,ffffffff,0,0,1,0,0,0
7fc123d9,ec7f1a51,ffffffff,0,0,1,0,0,0
ec65e246,7ffc8800,ffffffff,0,0,1,0,0,0
ffa3ba29,007ecf07,ffffffff,0,0,1,0,0,0
fff71381,dc7a423a,7fffffff,0,0,1,0,0,0
ff97ac77,fb4adf6d,7fffffff,0,0,1,0,0,0
ffc19599,fa8d80ac,7fffffff,0,0,1,0,0,0
ffb1e524,adba6f22,7fffffff,0,0,1,0,0,0
b0ef48cc,ffdf4e69,7fffffff,0,0,1,0,0,0
c966a7b6,7f855705,ffffffff,0,0,1,0,0,0
560cf5c0,fff61ad2,ffffffff,0,0,1,0,0,0
7fd38447,ff858312,ffffffff,0,0,1,0,0,0
7fc56f35,005be082,7fffffff,0,0,1,0,0,0
6962ee54,fffc6f3c,ffffffff,0,0,1,0,0,0
a0e46994,7fdee999,ffffffff,0,0,1,0,0,0
ae1db90b,ff843e38,7fffffff,0,0,1,0,0,0
ffaabde3,d0dad788,7fffffff,0,0,1,0,0,0
ffef6967,ff800000,7fffffff,0,0,1,0,0,0
f1000000,ffab85a4,7fffffff,0,0,1,0,0,0
9bdb97e8,ffce63a8,7fffffff,0,0,1,0,0,0
ffa073a5,ffe4d0ec,7fffffff,0,0,1,0,0,0
69146a0b,ff930bac,ffffffff,0,0,1,0,0,0
ff97b050,011ac406,ffffffff,0,0,1,0,0,0
1e714d06,7ff4f09e,7fffffff,0,0,1,0,0,0
3fefcaeb,7fb7fb4f,7fffffff,0,0,1,0,0,0
93f7730e,ffac1781,7fffffff,0,0,1,0,0,0
88225529,7f84e61e,ffffffff,0,0,1,0,0,0
bdd4bf4e,7fdc48f5,ffffffff,0,0,1,0,0,0
808ccac0,ffb8439d,7fffffff,0,0,1,0,0,0
7fb4e7f6,ffb3732a,ffffffff,0,0,1,0,0,0
7fd3934d,bac1447d,ffffffff,0,0,1,0,0,0
7f9761b1,5c000000,7fffffff,0,0,1,0,0,0
c1faf30f,7ff9abf7,ffffffff,0,0,1,0,0,0
ff92d13f,0f7e2844,ffffffff,0,0,1,0,0,0
7fc05ca5,807c1114,ffffffff,0,0,1,0,0,0
ffc79392,e5b4727f,7fffffff,0,0,1,0,0,0
7fe22bc2,390a3d30,7fffffff,0,0,1,0,0,0
39114869,7fda6b9c,7fffffff,0,0,1,0,0,0
25d7039a,ffd26ea4,ffffffff,0,0,1,0,0,0
a53a9bb0,ffb00ec5,7fffffff,0,0,1,0,0,0
4e23ea58,7fc0c9ba,7fffffff,0,0,1,0,0,0
fff7c6df,f1d34a43,7fffffff,0,0,1,0,0,0
7ff10465,7edbd8b3,7fffffff,0,0,1,0,0,0
fffe940e,a035b624,7fffffff,0,0,1,0,0,0
5ac5d5a1,7fdd1dfb,7fffffff,0,0,1,0,0,0
3d036321,7fa346c2,7fffffff,0,0,1,0,0,0
fffa44af,801922f8,7fffffff,0,0,1,0,0,0
7fb7cd6d,a30cf799,ffffffff,0,0,1,0,0,0
7f93a021,36e809d9,7fffffff,0,0,1,0,0,0
7fcd7ccc,705b1372,7fffffff,0,0,1,0,0,0
7f849e3e,7f800000,7fffffff,0,0,1,0,0,0
99137d4b,ff88fae5,7fffffff,0,0,1,0,0,0
ff97aeca,cadb9119,7fffffff,0,0,1,0,0,0
589af4c6,7fe81d87,7fffffff,0,0,1,0,0,0
d6a664fe,7fb2d6e4,ffffffff,0,0,1,0,0,0
2947282a,ffbd5fe0,ffffffff,0,0,1,0,0,0
136f38fe,fffc7eba,ffffffff,0,0,1,0,0,0
7f8ae270,3183cfd2,7fffffff,0,0,1,0,0,0
1696c376,7f8e454c,7fffffff,0,0,1,0,0,0
5a239bc4,7fa4c939,7fffffff,0,0,1,0,0,0
0046ca90,ff8cbb68,ffffffff,0,0,1,0,0,0
04e76419,ff87a038,ffffffff,0,0,1,0,0,0
a760bbfd,fff8f2bb,7fffffff,0,0,1,0,0,0
ffd00cb9,4ce05b29,ffffffff,0,0,1,0,0,0
8b12082c,ffdc20ef,7fffffff,0,0,1,0,0,0
7ff4a882,2c992564,7fffffff,0,0,1,0,0,0
82345286,ffdb5c2a,7fffffff,0,0,1,0,0,0
7f828b31,51000000,7fffffff,0,0,1,0,0,0
ff8accb0,1653e1f1,ffffffff,0,0,1,0,0,0
ffd3eba9,039e2bd3,ffffffff,0,0,1,0,0,0
ff960cf9,74fa4533,ffffffff,0,0,1,0,0,0
e6b07d45,7fc32f4f,ffffffff,0,0,1,0,0,0
7fce3667,eda19e0e,ffffffff,0,0,1,0,0,0
6a80840b,ffc3f8d9,ffffffff,0,0,1,0,0,0
ffbeb517,b4050675,7fffffff,0,0,1,0,0,0
7fcc02a4,6a800000,7fffffff,0,0,1,0,0,0
7fdd1da0,8e66da40,ffffffff,0,0,1,0,0,0
77b4aec3,ffee4a93,ffffffff,0,0,1,0,0,0
ab9b4f73,7f88cadf,ffffffff,0,0,1,0,0,0
5eb4d1b6,7f965693,7fffffff,0,0,1,0,0,0
7fa8b8a7,ff8e749a,ffffffff,0,0,1,0,0,0
7fe87912,f9000000,ffffffff,0,0,1,0,0,0
7fbec400,272855db,7fffffff,0,0,1,0,0,0
ffef2021,0062e7d9,ffffffff,0,0,1,0,0,0
b14cbb7b,ff8d537a,7fffffff,0,0,1,0,0,0
7f9bc962,064ff924,7fffffff,0,0,1,0,0,0
f6f4ea11,ffd9a8bb,7fffffff,0,0,1,0,0,0
fff3c3b1,d7000000,7fffffff,0,0,1,0,0,0
9dacae4f,ff90c43f,7fffffff,0,0,1,0,0,0
7ff4aea5,69000000,7fffffff,0,0,1,0,0,0
ffa13240,a4a47c69,7fffffff,0,0,1,0,0,0
35a88d84,ff887e2c,ffffffff,0,0,1,0,0,0
ffd665a5,7fc80b45,ffffffff,0,0,1,0,0,0
da448172,ff811067,7fffffff,0,0,1,0,0,0
1413fed0,ff8963df,ffffffff,0,0,1,0,0,0
ffdd3e36,007e9ebc,ffffffff,0,0,1,0,0,0
ffde255c,1848e44,ffffffff,0,0,1,0,0,0
7f93ecd8,990c5399,ffffffff,0,0,1,0,0,0
8d6f23f1,ff8177e6,7fffffff,0,0,1,0,0,0
ad74e1bb,ffbf9aa5,7fffffff,0,0,1,0,0,0
0,7f800000,7fffffff,0,0,1,0,0,0
0,7fffffff,7fffffff,0,0,1,0,0,0
00000fff,7fffffff,7fffffff,0,0,1,0,0,0
3fc00000,7fffffff,7fffffff,0,0,1,0,0,0
7f800000,0,7fffffff,0,0,1,0,0,0
7f800000,7fffffff,7fffffff,0,0,1,0,0,0
7fffffff,0,7fffffff,0,0,1,0,0,0
7fffffff,00000fff,7fffffff,0,0,1,0,0,0
7fffffff,40000000,7fffffff,0,0,1,0,0,0
7fffffff,7f800000,7fffffff,0,0,1,0,0,0
7fffffff,7fffffff,7fffffff,0,0,1,0,0,0
0,ff800000,ffffffff,0,0,1,0,0,0
0,ffffffff,ffffffff,0,0,1,0,0,0
00000fff,ffffffff,ffffffff,0,0,1,0,0,0
3fc00000,ffffffff,ffffffff,0,0,1,0,0,0
7f800000,80000000,ffffffff,0,0,1,0,0,0
7f800000,ffffffff,ffffffff,0,0,1,0,0,0
7fffffff,80000000,ffffffff,0,0,1,0,0,0
7fffffff,80000fff,ffffffff,0,0,1,0,0,0
7fffffff,c0000000,ffffffff,0,0,1,0,0,0
7fffffff,ff800000,ffffffff,0,0,1,0,0,0
7fffffff,ffffffff,ffffffff,0,0,1,0,0,0
80000000,7f800000,ffffffff,0,0,1,0,0,0
80000000,7fffffff,ffffffff,0,0,1,0,0,0
80000fff,7fffffff,ffffffff,0,0,1,0,0,0
bfc00000,7fffffff,ffffffff,0,0,1,0,0,0
ff800000,0,ffffffff,0,0,1,0,0,0
ff800000,7fffffff,ffffffff,0,0,1,0,0,0
ffffffff,0,ffffffff,0,0,1,0,0,0
ffffffff,00000fff,ffffffff,0,0,1,0,0,0
ffffffff,40000000,ffffffff,0,0,1,0,0,0
ffffffff,7f800000,ffffffff,0,0,1,0,0,0
ffffffff,7fffffff,ffffffff,0,0,1,0,0,0
80000000,ff800000,7fffffff,0,0,1,0,0,0
80000000,ffffffff,7fffffff,0,0,1,0,0,0
80000fff,ffffffff,7fffffff,0,0,1,0,0,0
bfc00000,ffffffff,7fffffff,0,0,1,0,0,0
ff800000,80000000,7fffffff,0,0,1,0,0,0
ff800000,ffffffff,7fffffff,0,0,1,0,0,0
ffffffff,80000000,7fffffff,0,0,1,0,0,0
ffffffff,80000fff,7fffffff,0,0,1,0,0,0
ffffffff,c0000000,7fffffff,0,0,1,0,0,0
ffffffff,ff800000,7fffffff,0,0,1,0,0,0
ffffffff,ffffffff,7fffffff,0,0,1,0,0,0
53045800,7f8df800,7fffffff,0,0,1,0,0,0
ffa82dc7,7fa44640,ffffffff,0,0,1,0,0,0
